normalized_name,avg_sentiment,mention_count,sentiment_std,latitude,longitude,chronological_order
Chicago,0.212,8,0.142,41.876,-87.624,1
Glaciers,-0.012,3,0.035,51.304,-117.519,2
Vancouver,0.126,5,0.199,49.261,-123.114,3
Yokohama,0.334,11,0.262,35.444,139.637,4
Niko,0.094,5,0.216,36.72,139.698,5
Tokio,0.194,4,0.179,35.677,139.764,6
Kobe,0.052,3,0.132,34.693,135.194,7
Nagasaki,0.03,3,0.137,33.115,129.787,8
Shanghai,0.239,2,0.056,31.231,121.47,9
Hongkong,0.05,7,0.19,22.351,114.185,10
Canton,0.125,7,0.147,23.13,113.259,11
Saigon,0.125,3,0.193,10.776,106.701,12
Singapore,0.202,2,0.049,1.357,103.819,13
Kandy,0.183,5,0.113,7.293,80.635,14
Calcutta,0.209,11,0.212,22.573,88.364,15
Benares,0.172,8,0.251,25.336,83.008,16
Aigra,0.252,3,0.075,27.177,78.008,17
Delhi,0.267,4,0.258,28.627,77.172,18
Jeypore,0.127,6,0.204,18.899,82.559,19
Bombay,0.172,12,0.143,18.973,72.828,20
Aden,0.182,6,0.163,12.79,45.029,21
Ismalia,0.131,12,0.176,30.596,32.272,22
Cairo,0.069,21,0.229,30.044,31.236,23
Luxor,0.178,6,0.134,25.702,32.647,24
Brindisi,-0.123,3,0.198,40.636,17.688,25
Marseilles,0.012,6,0.226,43.303,5.369,26
Paris,0.264,13,0.31,48.853,2.348,27
London,0.168,14,0.139,51.507,-0.128,28
New York,0.196,2,0.006,40.713,-74.006,29
